City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Busselton,AU,-33.65,115.3333,68.0,70,32,3.0,1611619906
Barrow,US,71.2906,-156.7887,-5.8,84,1,12.66,1611619802
Khatanga,RU,71.9667,102.5,-19.19,87,100,8.7,1611619906
Punta Arenas,CL,-53.15,-70.9167,46.4,49,20,29.93,1611619906
Caucaia,BR,-3.7361,-38.6531,81.0,83,40,6.91,1611619846
Longyearbyen,SJ,78.2186,15.6401,12.2,62,0,19.57,1611619907
Pevek,RU,69.7008,170.3133,-27.63,86,98,5.57,1611619907
Nikolskoye,RU,59.7035,30.7861,37.0,93,90,6.71,1611619907
Avarua,CK,-21.2078,-159.775,86.0,70,40,14.97,1611619907
Manjeshwar,IN,12.7194,74.8861,73.4,88,20,5.7,1611619907
Ushuaia,AR,-54.8,-68.3,50.0,53,40,20.71,1611619907
Crotone,IT,39.0851,17.1178,54.48,81,93,18.41,1611619907
Pisco,PE,-13.7,-76.2167,71.6,73,0,21.85,1611619647
Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,70,7.0,1611619908
Tiksi,RU,71.6872,128.8694,-40.38,80,96,6.73,1611619908
Butaritari,KI,3.0707,172.7902,79.57,77,95,6.51,1611619908
Katangli,RU,51.7102,143.2326,-13.88,81,66,3.78,1611619908
Manbij,SY,36.5281,37.9549,33.8,75,0,6.24,1611619908
Jamestown,US,42.097,-79.2353,30.2,64,1,9.22,1611619907
Klaksvík,FO,62.2266,-6.589,28.4,80,20,4.61,1611619908
Rikitea,PF,-23.1203,-134.9692,79.83,71,1,14.05,1611619908
Lavrentiya,RU,65.5833,-171.0,-2.04,86,72,4.97,1611619908
Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,9.22,1611619909
Atripalda,IT,40.9158,14.8246,51.01,41,100,3.67,1611619909
Tura,IN,25.5198,90.2201,55.76,61,0,2.66,1611619909
Albany,US,42.6001,-73.9662,26.01,60,59,1.63,1611619909
Bluff,NZ,-46.6,168.3333,80.01,47,100,21.99,1611619909
Uusikaupunki,FI,60.8004,21.4084,33.8,100,90,8.05,1611619909
Kapaa,US,22.0752,-159.319,75.99,88,75,19.57,1611619882
Songjianghe,CN,42.1859,127.479,26.89,98,100,2.98,1611619909
Saint-François,FR,46.4154,3.9054,30.99,93,90,1.14,1611619909
Orbetello,IT,42.4408,11.2196,48.2,81,75,4.61,1611619844
Haines Junction,CA,60.7522,-137.5108,6.8,85,100,0.98,1611619910
Sayansk,RU,54.1088,102.1648,-15.92,89,100,7.36,1611619910
New Norfolk,AU,-42.7826,147.0587,66.0,53,49,5.01,1611619910
Agüimes,ES,27.9054,-15.4461,64.4,72,75,16.11,1611619910
Wawa,NG,9.9022,4.4192,75.96,22,28,7.23,1611619910
Provideniya,RU,64.3833,-173.3,3.2,72,90,20.13,1611619633
Bagdarin,RU,54.4333,113.6,-8.14,85,100,4.99,1611619910
Dudinka,RU,69.4058,86.1778,-33.95,81,99,14.29,1611619911
Bredasdorp,ZA,-34.5322,20.0403,60.8,94,2,4.61,1611619911
Naze,JP,28.3667,129.4833,66.2,82,75,9.22,1611619911
Yarmouth,US,41.7057,-70.2286,35.01,37,1,6.91,1611619911
Tasiilaq,GL,65.6145,-37.6368,8.6,56,100,16.11,1611619911
Sawākin,SD,19.1059,37.3321,74.73,82,93,15.43,1611619810
Soe,ID,-9.8607,124.284,69.93,94,100,5.57,1611619911
Madimba,TZ,-10.4,40.3333,77.23,79,69,1.63,1611619912
Saint Anthony,US,45.0205,-93.218,19.4,42,75,9.22,1611619912
Ardakān,IR,32.31,54.0175,35.6,25,0,2.3,1611619912
Mataura,NZ,-46.1927,168.8643,80.01,47,97,21.99,1611619912
Vaini,TO,-21.2,-175.2,84.2,79,75,11.5,1611619912
Hilo,US,19.7297,-155.09,77.0,73,90,9.22,1611619612
Ponta do Sol,PT,32.6667,-17.1,60.01,80,46,1.01,1611619624
Ndago,TZ,-4.6,34.35,60.85,95,98,4.32,1611619912
Ljungby,SE,56.8332,13.9408,30.0,100,90,3.44,1611619913
Altamira,BR,-3.2033,-52.2064,73.71,95,99,2.93,1611619913
Beringovskiy,RU,63.05,179.3167,-1.79,91,100,16.98,1611619913
Hambantota,LK,6.1241,81.1185,72.07,76,96,16.46,1611619913
Hoi An,VN,15.8794,108.335,68.0,88,40,1.14,1611619913
Half Moon Bay,US,37.4636,-122.4286,52.0,66,75,21.85,1611619913
Qaanaaq,GL,77.484,-69.3632,6.48,63,0,7.25,1611619913
Lixouri,GR,38.2019,20.4314,55.92,71,77,15.77,1611619913
Lebu,CL,-37.6167,-73.65,58.08,83,0,13.69,1611619828
Thompson,CA,55.7435,-97.8558,-9.4,77,75,3.44,1611619913
Bose,IT,45.4612,8.0137,39.2,30,0,4.61,1611619914
Fairbanks,US,64.8378,-147.7164,3.99,85,40,1.97,1611619700
Hasaki,JP,35.7333,140.8333,41.0,93,20,8.05,1611619768
Saskylakh,RU,71.9167,114.0833,-33.41,82,20,4.38,1611619914
Bud,US,39.447,-86.1758,33.01,98,100,14.81,1611619914
Onega,RU,63.9061,38.1404,34.48,95,100,6.98,1611619914
Honningsvåg,NO,70.9821,25.9704,26.76,94,93,13.53,1611619914
Hobart,AU,-42.8794,147.3294,70.0,45,75,16.11,1611619897
Atuona,PF,-9.8,-139.0333,78.84,76,19,19.01,1611619915
Baykit,RU,61.67,96.37,-40.34,74,26,1.23,1611619915
Ambulu,ID,-8.345,113.6058,78.78,74,90,2.73,1611619915
Tuatapere,NZ,-46.1333,167.6833,80.01,47,100,21.99,1611619915
Margate,GB,51.3813,1.3862,36.0,73,40,3.0,1611619915
Hithadhoo,MV,-0.6,73.0833,81.32,73,99,5.35,1611619915
Calabozo,VE,8.9242,-67.4293,84.42,44,99,6.06,1611619915
Dikson,RU,73.5069,80.5464,-24.52,85,100,13.65,1611619915
Cabo San Lucas,MX,22.8909,-109.9124,68.0,59,20,18.41,1611619796
Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,6.91,1611619916
Rocha,UY,-34.4833,-54.3333,72.52,85,6,7.16,1611619916
Hermanus,ZA,-34.4187,19.2345,57.99,90,0,6.73,1611619916
Hong Kong,HK,22.2855,114.1577,64.99,79,20,8.41,1611619821
Jinchang,CN,38.4953,102.1739,18.77,81,0,1.63,1611619916
Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,6.91,1611619916
La Seyne-sur-Mer,FR,43.0982,5.8847,43.0,53,0,14.0,1611619916
Vao,NC,-22.6667,167.4833,76.57,76,68,20.76,1611619917
Chokurdakh,RU,70.6333,147.9167,-40.72,78,91,4.83,1611619917
Dunedin,NZ,-45.8742,170.5036,73.99,62,100,4.0,1611619811
Cape Town,ZA,-33.9258,18.4232,68.0,82,0,18.41,1611619626
Samut Songkhram,TH,13.4,99.9583,75.99,92,33,1.45,1611619917
Chara,RU,56.9064,118.2631,-18.04,84,100,2.42,1611619917
Kavaratti,IN,10.5669,72.642,80.64,74,5,11.23,1611619917
Lüderitz,NA,-26.6481,15.1594,67.41,69,51,22.57,1611619917
Narsaq,GL,60.9167,-46.05,24.8,28,38,29.93,1611619917
Bathsheba,BB,13.2167,-59.5167,77.0,73,20,16.11,1611619917
Sosnovka,RU,56.255,51.2842,20.62,97,100,6.96,1611619918
Souillac,MU,-20.5167,57.5167,71.6,94,20,5.75,1611619918
Shingū,JP,33.7333,135.9833,53.6,66,40,5.75,1611619918
Erenhot,CN,43.6475,111.9767,2.75,85,2,7.49,1611619918
Faya,SA,18.3851,42.4509,55.4,62,0,4.61,1611619918
Itarema,BR,-2.9248,-39.9167,79.84,81,82,11.48,1611619918
Saldanha,ZA,-33.0117,17.9442,62.6,88,0,11.5,1611619918
Castro,BR,-24.7911,-50.0119,64.4,95,100,1.86,1611619918
Carnarvon,AU,-24.8667,113.6333,75.2,60,12,19.57,1611619918
Cerrito,CO,6.8432,-72.694,73.4,83,40,4.61,1611619918
Lata,PT,40.1629,-8.3327,59.0,95,100,3.56,1611619919
Norman Wells,CA,65.282,-126.8329,-11.2,77,75,4.61,1611619725
Esperance,AU,-33.8667,121.9,62.6,77,75,5.75,1611619919
Costa Rica,BR,-23.4167,-54.65,72.86,94,100,4.74,1611619919
Tadine,NC,-21.55,167.8833,78.42,78,99,18.34,1611619919
Callaguip,PH,18.0714,120.4867,73.4,94,75,2.3,1611619919
Tautira,PF,-17.7333,-149.15,87.8,62,40,6.91,1611619919
Lázaro Cárdenas,MX,17.9583,-102.2,77.74,77,9,9.33,1611619919
Soavinandriana,MG,-19.1667,46.7333,59.94,99,89,0.96,1611619920
Alvarães,BR,-3.2208,-64.8042,80.6,83,20,3.44,1611619920
Sambava,MG,-14.2667,50.1667,77.05,87,87,2.51,1611619920
Muros,ES,42.7762,-9.0603,57.0,94,100,5.01,1611619695
Keetmanshoop,NA,-26.5833,18.1333,80.65,29,99,13.4,1611619920
Sakaiminato,JP,35.55,133.2333,37.4,93,75,1.14,1611619920
Papillion,US,41.1544,-96.0422,25.0,86,90,17.27,1611619761
Rodrigues Alves,BR,-7.738,-72.6509,75.69,92,85,2.01,1611619920
Mahébourg,MU,-20.4081,57.7,71.6,94,20,5.75,1611619920
Te Anau,NZ,-45.4167,167.7167,68.74,62,99,10.89,1611619866
Cairns,AU,-16.9167,145.7667,84.2,65,56,2.3,1611619921
Mar del Plata,AR,-38.0023,-57.5575,80.01,78,20,11.5,1611619669
Faanui,PF,-16.4833,-151.75,81.14,76,46,17.9,1611619921
Moorhead,US,46.8739,-96.7676,14.0,67,90,11.5,1611619921
Tambacounda,SN,13.7539,-13.7586,73.4,20,0,9.22,1611619921
Olinda,BR,-8.0089,-34.8553,78.8,69,40,12.66,1611619811
Atasū,KZ,48.6814,71.6433,1.18,93,94,5.3,1611619922
Pemba,MZ,-12.974,40.5178,78.8,83,20,6.91,1611619922
Manta,EC,-0.95,-80.7333,78.8,78,75,5.75,1611619729
George Town,MY,5.4112,100.3354,78.8,88,20,5.95,1611619681
Virginia Beach,US,36.8529,-75.978,44.01,99,100,5.37,1611619922
Jos,NG,9.9167,8.9,63.03,27,38,5.37,1611619922
Plainview,US,40.7765,-73.4673,34.0,47,1,4.61,1611619922
Muhos,FI,64.808,25.9931,30.2,93,90,9.22,1611619922
North Bend,US,43.4065,-124.2243,42.8,81,90,6.91,1611619923
Awjilah,LY,29.1081,21.2869,54.7,39,88,3.98,1611619923
Arraial do Cabo,BR,-22.9661,-42.0278,76.59,83,90,25.05,1611619923
Cândido Mendes,BR,-1.4467,-45.7167,76.01,91,100,3.02,1611619923
Grindavik,IS,63.8424,-22.4338,28.4,54,75,28.77,1611619923
Lorengau,PG,-2.0226,147.2712,84.76,63,93,5.28,1611619923
Yellowknife,CA,62.456,-114.3525,-20.0,69,75,9.22,1611619787
Asău,RO,46.4333,26.4,39.0,60,0,10.36,1611619923
Geraldton,AU,-28.7667,114.6,70.45,69,71,15.17,1611619727
Shimoda,JP,34.6667,138.95,51.8,71,75,14.97,1611619924
Port Elizabeth,ZA,-33.918,25.5701,64.4,94,0,1.14,1611619924
Guider,CM,9.9342,13.9486,73.38,20,10,6.91,1611619629
Zhuhai,CN,22.2769,113.5678,66.99,94,20,4.61,1611619924
Balkhash,KZ,46.844,74.9804,-0.35,84,0,3.8,1611619924
Acaraú,BR,-2.8856,-40.12,80.08,81,82,13.22,1611619683
São Filipe,CV,14.8961,-24.4956,72.73,67,56,3.83,1611619924
Turukhansk,RU,65.8167,87.9833,-41.94,79,58,6.51,1611619924
Lagoa,PT,39.05,-27.9833,61.54,88,100,18.66,1611619924
Fortuna,US,40.5982,-124.1573,46.0,81,40,4.61,1611619925
Ust'-Omchug,RU,61.15,149.6333,-23.04,81,100,8.28,1611619925
Ciudad Bolivar,VE,8.1222,-63.5497,81.73,58,42,15.3,1611619925
Urucará,BR,-2.5364,-57.76,75.99,94,99,1.01,1611619925
Luanda,AO,-8.8368,13.2343,78.8,83,75,2.3,1611619925
Codrington,AU,-38.2667,141.9667,62.56,76,97,15.08,1611619925
Prosvet,RU,55.5703,65.0825,21.43,97,100,8.88,1611619925
Kabanjahe,ID,3.1001,98.4908,75.2,100,40,3.44,1611619631
Viedma,AR,-40.8135,-62.9967,69.49,33,0,15.3,1611619925
Mehamn,NO,71.0357,27.8492,28.54,97,100,27.49,1611619926
Neiafu,TO,-18.65,-173.9833,77.0,100,90,8.05,1611619926
Poronaysk,RU,49.2167,143.1167,-11.27,82,13,2.04,1611619926
Porto da Folha,BR,-9.9172,-37.2783,75.63,79,100,9.33,1611619926
Grand Gaube,MU,-20.0064,57.6608,75.0,82,22,3.0,1611619926
Kungur,RU,57.4368,56.9593,26.85,97,97,11.86,1611619926
Karatuzskoye,RU,53.6072,92.8667,-13.7,89,79,1.23,1611619926
Kavieng,PG,-2.5744,150.7967,84.85,66,74,4.38,1611619926
Kiryat Gat,IL,31.61,34.7642,51.01,84,0,3.42,1611619926
Bengkulu,ID,-3.8004,102.2655,73.31,93,100,7.83,1611619698
Corinth,GR,37.9407,22.9573,48.99,61,100,1.99,1611619927
Lompoc,US,34.6391,-120.4579,51.8,58,20,31.07,1611619868
Amudat,UG,1.95,34.95,65.19,68,20,3.38,1611619927
Los Llanos de Aridane,ES,28.6585,-17.9182,66.2,68,90,9.22,1611619927
Fort Frances,CA,48.5999,-93.4003,-4.0,77,20,3.44,1611619927
Sisimiut,GL,66.9395,-53.6735,11.61,94,98,2.66,1611619927
Broome,US,42.2506,-75.833,25.0,58,1,2.75,1611619927
Sjøvegan,NO,68.8726,17.8474,19.0,84,1,6.08,1611619927
Leiyang,CN,26.4024,112.8591,44.24,78,87,3.85,1611619816
Katsuura,JP,35.1333,140.3,50.0,70,75,10.36,1611619928
Henties Bay,NA,-22.116,14.2845,69.01,89,89,7.25,1611619928
Soyo,AO,-6.1349,12.3689,79.0,84,87,5.66,1611619928
Mahajanga,MG,-15.7167,46.3167,75.2,94,40,3.44,1611619928
Sitka,US,57.0531,-135.33,37.4,70,40,2.44,1611619902
Chui,UY,-33.6971,-53.4616,74.01,85,3,10.38,1611619928
Yulara,AU,-25.2406,130.9889,87.8,48,75,1.14,1611619928
Bolivar,US,37.6145,-93.4105,48.99,93,77,14.23,1611619928
Tootsi,EE,58.5781,24.7925,35.01,99,100,3.71,1611619928
Poltavka,RU,54.3663,71.7632,1.2,94,97,5.99,1611619929
Saint George,US,37.1041,-113.5841,36.0,93,90,5.75,1611619651
Gondanglegi,ID,-7.7479,112.0132,78.35,75,96,2.37,1611619929
Tilichiki,RU,60.4667,166.1,2.41,91,100,10.96,1611619929
Sinnamary,GF,5.3833,-52.95,77.14,87,50,12.19,1611619929
Ponte Nova,BR,-20.4164,-42.9086,70.43,88,74,2.13,1611619929
Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,16.11,1611619929
Cidreira,BR,-30.1811,-50.2056,76.41,84,47,9.93,1611619929
Havelock,US,34.8791,-76.9013,48.99,95,100,3.0,1611619930
Ghanzi,BW,-21.5667,21.7833,68.63,83,100,17.6,1611619930
Igarka,RU,67.4667,86.5833,-40.79,78,55,10.31,1611619930
Alugan,PH,12.2188,125.4808,80.13,72,99,7.63,1611619930
Vila Velha,BR,-20.3297,-40.2925,84.0,78,20,4.61,1611619930
Port Hardy,CA,50.6996,-127.4199,39.2,75,75,6.91,1611619930
Kamenka,RU,51.3223,42.7678,33.37,94,94,16.35,1611619698
Jalu,LY,29.0331,21.5482,52.84,42,70,2.59,1611619929
Mollendo,PE,-17.0231,-72.0147,70.97,75,4,6.31,1611619930
La Santisima Trinidad,BO,-14.8333,-64.9,84.2,79,40,3.36,1611619930
Kushmurun,KZ,52.4503,64.6311,17.19,96,24,6.53,1611619931
Bambous Virieux,MU,-20.3428,57.7575,75.0,94,20,5.75,1611619931
Severo-Kuril'sk,RU,50.6789,156.125,21.02,94,92,21.65,1611619931
Clarence Town,AU,-32.5833,151.7833,91.99,40,0,9.22,1611619931
Tongliao,CN,43.6125,122.2653,7.88,89,0,7.76,1611619931
Nioro,GM,13.35,-15.75,69.28,24,0,3.65,1611619931
Portland,US,45.5234,-122.6762,44.01,70,75,3.44,1611619374
Port Alfred,ZA,-33.5906,26.891,63.0,93,2,5.01,1611619931
Flin Flon,CA,54.7682,-101.865,-16.6,69,1,6.91,1611619931
Sharan,RU,54.8167,54.0,25.52,97,100,11.52,1611619932
Tessalit,ML,20.1986,1.0114,63.21,21,41,9.73,1611619932
Pyshma,RU,56.9523,63.2513,29.48,98,100,11.54,1611619932
Hot Springs,US,34.5037,-93.0552,64.4,48,1,18.41,1611619932
Port Blair,IN,11.6667,92.75,73.17,81,72,8.37,1611619932
Concepción del Uruguay,AR,-32.4825,-58.2372,87.01,41,3,1.99,1611619857
Ballina,AU,-28.8667,153.5667,81.0,61,40,9.22,1611619860
San Andrés,CO,12.5847,-81.7006,80.6,78,20,11.5,1611619932
Upernavik,GL,72.7868,-56.1549,4.91,79,0,3.94,1611619932
Kikwit,CD,-5.041,18.8162,67.93,96,90,1.79,1611619933
Kumo,NG,10.0447,11.2122,69.67,22,7,8.95,1611619933
San Patricio,US,28.017,-97.5169,78.8,57,1,8.05,1611619933
Khilok,RU,51.3674,110.4676,-6.32,88,100,9.95,1611619933
Hamilton,US,39.1834,-84.5333,35.01,94,100,1.01,1611619933
Sola,VU,-13.8833,167.55,82.98,79,97,21.21,1611619933
Clyde River,CA,70.4692,-68.5914,6.8,92,1,31.07,1611619933
Alexandria,EG,31.2156,29.9553,50.0,93,0,3.44,1611619933
Gorontalo,ID,0.5412,123.0595,78.06,79,100,0.72,1611619721
Garoowe,SO,8.4054,48.4845,62.4,86,15,9.71,1611619934
Khandyga,RU,62.6667,135.6,-54.65,60,0,1.45,1611619934
Chapais,CA,49.7834,-74.8492,-2.2,84,1,3.22,1611619934
Hofn,IS,64.2539,-15.2082,23.76,89,67,17.54,1611619934
Meulaboh,ID,4.1363,96.1285,75.67,85,90,4.23,1611619934
Aykhal,RU,66.0,111.5,-38.07,78,40,2.3,1611619698
Chabahar,IR,25.2919,60.643,62.6,57,0,3.44,1611619934
Muli,MV,2.9167,73.5667,81.1,78,99,14.81,1611619934
San Rafael,AR,-34.6177,-68.3301,87.67,13,32,12.53,1611619934
Águas Formosas,BR,-17.0822,-40.9358,71.38,86,58,4.34,1611619935
Caravelas,BR,-17.7125,-39.2481,75.54,84,88,3.15,1611619935
Talnakh,RU,69.4865,88.3972,-30.08,82,100,9.69,1611619935
Caraballeda,VE,10.6112,-66.8522,76.26,76,97,8.32,1611619935
Bilma,NE,18.6853,12.9164,58.89,27,0,5.55,1611619935
Keningau,MY,5.3378,116.1602,77.0,88,20,5.75,1611619935
Kaitangata,NZ,-46.2817,169.8464,77.07,43,100,15.61,1611619935
Russell,US,32.3502,-85.1999,69.8,64,1,9.22,1611619935
Cabedelo,BR,-6.9811,-34.8339,78.8,78,20,9.22,1611619935
Xiaoweizhai,CN,26.1903,107.5125,43.66,82,100,4.18,1611619935
Bontang,ID,0.1333,117.5,77.68,82,100,3.71,1611619936
Tenosique,MX,17.4833,-91.4333,84.2,74,1,6.51,1611619936
Maceió,BR,-9.6658,-35.7353,77.0,83,75,12.66,1611619723
Karpogory,RU,64.0019,44.4451,34.83,97,100,7.94,1611619936
Saint Paul Harbor,US,57.79,-152.4072,39.2,65,90,9.22,1611619936
Taganak,PH,6.0833,118.3,77.0,94,20,3.44,1611619936
Cherskiy,RU,68.75,161.3,-36.65,82,61,2.21,1611619936
Guangyuan,CN,32.442,105.823,28.99,73,38,2.51,1611619936
San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,81.0,55,95,1.99,1611619936
Springdale,US,36.1867,-94.1288,50.0,100,90,11.5,1611619889
Kjøpsvik,NO,68.097,16.3742,28.99,85,1,2.3,1611619937
Tocopilla,CL,-22.092,-70.1979,69.6,67,12,11.92,1611619937
Wagar,SD,16.1525,36.2032,68.09,86,40,13.85,1611619937
Forsytheganj,BY,52.6333,29.7333,41.13,93,100,16.06,1611619937
Port Montt,CL,-41.4698,-72.9447,57.2,62,20,8.05,1611619937
Iqaluit,CA,63.7506,-68.5145,1.4,78,1,11.5,1611619937
Prainha,BR,-1.8,-53.48,76.84,87,81,3.44,1611619937
Las Palmas,ES,28.4204,-14.0131,64.4,72,90,12.66,1611619937
Pacho,CO,5.1328,-74.1598,59.0,58,20,4.61,1611619937
Poum,NC,-20.2333,164.0167,79.66,79,100,19.3,1611619937
Broken Hill,AU,-31.95,141.4333,75.2,88,90,2.3,1611619938
Coquimbo,CL,-29.9533,-71.3436,62.6,82,40,8.05,1611619938
Sungai Penuh,ID,-2.0833,101.3833,62.92,97,100,0.45,1611619938
Puerto Quijarro,BO,-17.7833,-57.7667,78.93,78,100,1.28,1611619938
Puerto Madero,MX,14.7208,-92.4215,82.4,74,20,3.44,1611619938
St. George's,GD,12.0564,-61.7485,78.8,78,20,14.97,1611619827
Dawei,MM,14.0833,98.2,68.16,80,0,2.75,1611619938
Gwadar,PK,25.1216,62.3254,64.26,28,0,7.4,1611619938
Ulagan,RU,50.6321,87.9563,-5.57,83,100,1.3,1611619938
Necoclí,CO,8.4234,-76.786,78.53,87,75,7.74,1611619939
Belmonte,BR,-15.8631,-38.8828,78.8,73,40,9.22,1611619939
Jangipur,IN,24.4667,88.0667,55.33,55,0,4.25,1611619939
